date, pm25, pm10, o3, no2, so2, co
2015/1/31, 213, , 274, 59, 73, 72
2015/2/1, 220, , 219, 34, 72, 30
2015/2/2, 233, , 299, 30, 50, 39
2015/2/3, 220, , 90, 23, 40, 23
2015/2/5, 132, , 63, 19, 46, 6
2015/2/6, 156, , 112, 21, 52, 8
2015/2/7, 160, , 46, 25, 63, 8
2015/2/9, 185, , 71, 21, 45, 9
2015/2/10, 168, , 88, 16, 35, 8
2015/2/11, 149, , 96, 19, 60, 16
2015/2/12, 140, , 43, 28, 65, 19
2015/2/13, 175, , , 29, 74, 6
2015/2/14, 209, , 75, 41, 69, 20
2015/2/15, 183, , 42, 21, 59, 8
2015/2/16, 172, , 44, 28, 58, 37
2015/2/17, 170, , 36, 20, 50, 29
2015/2/18, 166, , 77, 15, 29, 6
2015/2/20, 206, , 111, 34, 88, 47
2015/2/21, 309, , 73, 41, 67, 33
2015/2/22, 211, , 89, 41, 57, 42
2015/2/23, 278, , 98, 46, 72, 45
2015/2/24, 189, , 86, 26, 57, 16
2015/2/25, 115, , 82, 7, 38, 5
2015/3/3, 166, , 82, 25, 42, 15
2015/3/4, 171, , 91, 27, 62, 20
2015/3/5, 225, , 79, 38, 66, 22
2015/3/9, 192, , 67, 28, 32, 12
2015/3/10, 178, , 103, 23, 44, 11
2015/3/11, 184, , 97, 24, 57, 9
2015/3/12, 173, , 78, 19, 60, 7
2015/3/13, 172, , 40, 24, 61, 11
2015/3/14, 159, , 66, 24, 57, 12
2015/3/15, 126, , 59, 11, 58, 5
2015/3/16, 86, , 90, 13, 39, 4
2015/3/17, 151, , 60, 26, 68, 7
2015/3/18, 144, , 96, 35, 38, 28
2015/3/19, 181, , 64, 25, 53, 13
2015/3/20, 162, , 76, 44, 46, 41
2015/3/21, 183, , 117, 38, 57, 13
2015/3/22, 193, , 58, 40, 68, 44
2015/3/23, 228, , 43, 44, 65, 32
2015/3/24, 216, , 76, 28, 67, 28
2015/3/25, 222, , 109, 30, 57, 29
2015/3/26, 228, , 138, 41, 70, 23
2015/3/27, 201, , 15, 20, 21, 11
2015/3/28, 261, , 66, 48, , 31
2015/3/29, 277, , 94, 20, 84, 10
2015/3/30, 200, , 49, 18, 63, 6
2015/3/31, 200, , 131, 20, 68, 10
2014/10/6, 167, , 222, 11, 20, 14
2014/10/7, 133, , 70, 10, 22, 14
2014/10/8, 126, , , , , 
2014/10/10, 177, , 105, 27, 52, 26
2014/10/11, 206, , 87, 28, 59, 32
2014/10/12, 194, , 112, 29, 61, 29
2014/10/13, 182, , 95, 33, 71, 23
2014/10/14, 195, , 90, 25, 57, 32
2014/10/15, 194, , 13, 48, 53, 87
2014/10/16, 278, , 60, 40, 41, 34
2014/10/17, 200, , 49, 39, 64, 29
2014/10/18, 16, , 125, 27, 73, 31
2014/10/19, 13, , , , , 
2014/10/21, 219, , 96, 31, 45, 54
2014/10/22, 223, , 117, 28, 56, 53
2014/10/23, 325, , 104, 26, 79, 47
2014/10/24, 423, , , , , 
2014/10/26, 151, , , , , 
2014/11/1, 190, , , , , 
2014/11/11, 200, , , , , 
2014/9/16, 69, , 29, 4, 5, 9
2014/9/17, 121, , 26, 7, 13, 9
2014/9/18, 122, , 21, 7, 10, 7
2014/9/19, 110, , 21, 14, 23, 8
2014/9/20, 146, , 25, 6, 35, 6
2014/9/21, 119, , 27, 8, 56, 7
2014/9/22, 125, , 41, 7, 46, 7
2014/9/23, 123, , 23, 6, 32, 4
2014/9/24, 105, , 23, 7, 46, 9
2014/9/25, 111, , 37, 7, 43, 10
2014/9/26, 131, , 54, 9, 41, 11
2014/9/27, 154, , 50, 8, 42, 6
2014/9/28, 130, , , , , 
2019/12/31, , 88, 9, 5, 12, 7
2019/5/13, , 93, 19, 60, 43, 2
2019/9/12, , , 4, 22, 33, 18
2019/4/27, , , 43, 21, 18, 7
2018/12/31, , , 47, 51, 39, 4
2018/11/29, , , 29, 45, 24, 11
2018/12/6, , , 22, 50, 31, 4
2018/12/14, , , 34, 22, 10, 4
2018/4/2, , , 18, 10, 21, 5
2018/2/24, , , 17, 56, 44, 12
2018/3/26, , , 3, 37, 46, 25
2017/10/9, , , 7, 15, 4, 9
2017/10/19, , , 65, 46, 61, 15
2017/10/30, , , 68, 40, 51, 23
2017/9/25, , , 22, 10, 21, 2
2017/9/27, , , 6, 12, 13, 3
2016/11/15, , , 27, 54, 22, 13
2016/12/14, , , 86, 37, 29, 21
2016/7/10, , , 14, 2, 2, 10
2016/8/6, , , , 30, 21, 6
2016/9/20, , , 12, 9, 16, 11
2016/6/27, , , 95, 29, 2, 7
2015/10/6, , , 77, 42, 21, 9
2015/10/26, , , 38, 52, 40, 57
2015/10/30, , , 84, 7, 29, 9
2015/11/4, , , 18, 15, 45, 7
2015/8/14, , , 22, 9, 3, 4
2015/8/19, , , 13, 9, 5, 5
2015/8/30, , , 12, 14, 9, 6
2015/9/20, , , 7, 11, 12, 1
2015/4/12, , , 71, 18, 14, 11
2015/4/20, , , 56, 10, 14, 10
2015/4/25, , , 44, 13, 65, 1
2015/4/26, , , 44, 15, 93, 3
2015/4/27, , , 33, 9, 64, 
2015/4/28, , , 19, 19, 61, 12
2015/4/29, , , 21, 15, 121, 10
2015/4/30, , , 24, 17, 53, 9
2015/5/1, , , 76, 14, 77, 9
2015/5/2, , , 159, 20, 47, 16
2015/5/3, , , 169, 10, 45, 34
2015/5/4, , , 118, , 39, 34
2015/5/5, , , 51, 12, 27, 7
2015/5/6, , , 37, 18, 24, 6
2015/5/7, , , 34, 17, 19, 10
2015/5/8, , , 39, 16, 42, 16
2015/5/9, , , 36, 15, 57, 8
2015/5/10, , , 34, 15, 34, 8
2015/5/11, , , 35, 14, 12, 19
2015/5/12, , , 27, 18, 36, 16
2015/1/2, , , 49, 21, 37, 38
2015/1/3, , , 14, 23, 32, 23
2015/1/4, , , 17, 15, 20, 5
2015/1/9, , , 27, 43, 48, 34
2015/1/16, , , 84, 18, 21, 5
2014/10/5, , , 212, 25, 5, 31
2014/10/9, , , 55, 24, 35, 14
2014/10/20, , , 49, 36, 39, 62
2014/10/25, , , 105, 6, 68, 
2014/10/31, , , 63, 28, 32, 32
2014/11/10, , , 124, 12, , 
2014/12/1, , , 36, 32, 80, 9
2014/12/6, , , 116, 15, 20, 3
2014/12/8, , , 52, 21, 52, 2
2014/12/9, , , 5, 47, 67, 15
2014/12/10, , , 127, 16, 38, 6
2014/12/12, , , 81, 26, 31, 9
2014/12/13, , , 121, 32, 38, 15
2014/12/14, , , 106, 36, 50, 28
2014/12/15, , , 108, 26, 48, 3
2014/12/16, , , 69, 31, 35, 11
2014/12/17, , , 100, 13, 47, 6
2014/12/18, , , 110, 14, 34, 4
2014/12/19, , , 89, 15, 25, 6
2014/12/20, , , 129, 7, 31, 4
2014/12/22, , , 11, 42, 41, 18
2014/12/23, , , 103, 31, 38, 29
2014/12/24, , , 297, 45, 34, 68
2014/9/15, , , 22, 2, 4, 
2017/10/17, , , , 59, 41, 2
2016/7/13, , , , 45, 27, 10
2016/7/24, , , , 43, 27, 10
2015/11/2, , , , 11, 20, 9
2014/12/25, , , , 72, 63, 88
